Apr 18 21:59:58 <nicckkk>	Exactly on time
Apr 19 00:01:49 <goncalopp>	then, it returns how many of those characters are in the string, in upper and lowercase variations
Apr 19 00:02:01 <Zeta_Labda>	.lower and .upper are standard functions of python?
Apr 19 00:02:06 <Josip>	aha, got it
Apr 19 00:02:11 <goncalopp>	of strings, zeta
Apr 19 00:02:31 *	Anonymous968574 has quit (Ping timeout: 245 seconds)
Apr 19 00:02:31 <goncalopp>	string.lower()
Apr 19 00:03:03 <goncalopp>	anyone's having trouble understanding the function?
Apr 19 00:03:05 <Zeta_Labda>	alright, so what´s the use of the first line?
Apr 19 00:03:31 <goncalopp>	none, if you specify your character as uppercase :)
Apr 19 00:03:34 <goncalopp>	*lower
Apr 19 00:03:48 <Zeta_Labda>	ok
Apr 19 00:05:02 <neetismurder>	can you switch values like this?
Apr 19 00:05:08 <neetismurder>	like x,y = y,x?
Apr 19 00:05:14 <goncalopp>	yes :D
Apr 19 00:05:23 <goncalopp>	no need for a temporary variable, as usual
Apr 19 00:05:26 <neetismurder>	cool
Apr 19 00:06:00 <goncalopp>	ok then, I think I'll finish the class here. For those who want to stay a little more, I'd like to show you some things on Josip's homework
Apr 19 00:06:14 *	gunther has quit (Quit: leaving)
Apr 19 00:06:48 <neetismurder>	I've still got time, but I'm going to take a restroom break
Apr 19 00:07:15 *	Volens has quit (Ping timeout: 260 seconds)
Apr 19 00:07:21 <goncalopp>	ok sure. I think we can all use a 5 minutes break, really
Apr 19 00:07:35 <goncalopp>	So, brb :)
Apr 19 00:07:44 <Josip>	:)
Apr 19 00:13:03 <goncalopp>	Ok, I'm back
Apr 19 00:13:13 <goncalopp>	I'll post Josip's work so you can study it for a bit
Apr 19 00:15:33 <neetismurder>	back
Apr 19 00:15:40 <goncalopp>	:)
Apr 19 00:16:54 <Zeta_Labda>	oh that´s well done(what´s currently on the pad(
Apr 19 00:16:57 <Zeta_Labda>	)
Apr 19 00:17:13 <goncalopp>	ok, everyone's got a good idea of how everything works here?
Apr 19 00:17:20 <neetismurder>	I would :%s/warning/10/g
Apr 19 00:17:23 <neetismurder>	and delete line 3
Apr 19 00:17:32 <goncalopp>	yes zeta, Josip's work is pretty clean
Apr 19 00:17:51 <goncalopp>	nim, don't talk vim to us :)
Apr 19 00:18:02 <neetismurder>	sorry :3
Apr 19 00:18:22 <neetismurder>	I'd not use the variable and just use 10
Apr 19 00:18:29 <neetismurder>	since it's less typing
Apr 19 00:18:56 <neetismurder>	but it's a lot cleaner than what I did
Apr 19 00:18:56 <goncalopp>	it is, NiM, but using a variable instead of repeating a value is considered best practice
Apr 19 00:19:08 <goncalopp>	don't worry too much about one line more
Apr 19 00:19:20 <goncalopp>	And, this is actually what I want to talk about
Apr 19 00:19:41 <goncalopp>	rule 1 of clean programming: never, EVER, repeat anything
Apr 19 00:20:01 <goncalopp>	it will lead to you changing something later, and forgetting to change it everywhere
Apr 19 00:20:42 <goncalopp>	sure, it may seem like you won't forget them, or you can use find/replace, but on big projects you'll have HUNDREDS of references in multiple files
Apr 19 00:20:47 <goncalopp>	so just don't do it!
Apr 19 00:21:31 <goncalopp>	with this in mind, I want you to take a close look on lines 8,9,10,11
Apr 19 00:21:42 <goncalopp>	notice how they are very, very similar
Apr 19 00:21:51 <goncalopp>	9, 11 are actually the same
Apr 19 00:22:09 <goncalopp>	now, this is a clear cut case to just *use a function*
Apr 19 00:22:15 <goncalopp>	again: NEVER repeat code
Apr 19 00:22:38 <neetismurder>	gotcha
Apr 19 00:22:53 <goncalopp>	As you may point out, lines 8 and 10 are alike, but not the same...
Apr 19 00:23:05 <goncalopp>	the solution here is to think about what they are doing:
Apr 19 00:23:32 <goncalopp>	you want to check if the secret_number is in a interval around the user_number
Apr 19 00:23:41 <goncalopp>	so:
Apr 19 00:24:41 <goncalopp>	this is a docstring, it's just a special kind of comment
Apr 19 00:25:15 <goncalopp>	there's two ways of doing this that I can think of:
Apr 19 00:26:43 <goncalopp>	abs() is the absolute value
Apr 19 00:26:51 <goncalopp>	abs(2)==abs(-2)==2
Apr 19 00:26:59 <goncalopp>	abs(-3)==3
Apr 19 00:26:59 <goncalopp>	etc
Apr 19 00:27:00 <neetismurder>	you don't need math for absolute value?
Apr 19 00:27:10 <goncalopp>	no, just use abs()
Apr 19 00:27:14 <goncalopp>	i think....
Apr 19 00:27:29 <neetismurder>	oh cool
Apr 19 00:27:30 <goncalopp>	yes.
Apr 19 00:27:35 <Josip>	nice
Apr 19 00:27:44 <goncalopp>	so, finishing our program:
Apr 19 00:28:43 <neetismurder>	and you can use that for the elif too right?
Apr 19 00:28:48 <neetismurder>	the false value?
Apr 19 00:28:51 <goncalopp>	this condition is unnecessary_
Apr 19 00:29:14 <goncalopp>	if you test for equality first:
Apr 19 00:29:54 <goncalopp>	testing for equality is cheaper (in computer time)
Apr 19 00:30:08 <goncalopp>	also, more readable than that long long line :)
Apr 19 00:30:35 <Josip>	much more readable
Apr 19 00:30:42 <goncalopp>	NiM, I think this is what you were saying?
Apr 19 00:30:58 <neetismurder>	yup
Apr 19 00:31:03 <neetismurder>	that's what I did first
Apr 19 00:31:06 *	Sativa_ (~Sativa@c-76-105-30-21.hsd1.ca.comcast.net) has joined ##programming-classes
Apr 19 00:31:12 <neetismurder>	but mine isn't too readable ww
Apr 19 00:31:36 <goncalopp>	no, it isn't :)
Apr 19 00:31:40 <goncalopp>	shall we go over it?
Apr 19 00:31:47 <neetismurder>	sure
Apr 19 00:32:10 <Josip>	g2g its 1:30am here
Apr 19 00:32:26 <neetismurder>	take care
Apr 19 00:32:30 <Josip>	bb
Apr 19 00:32:33 *	Zeta_Labda has quit (Ping timeout: 245 seconds)
Apr 19 00:32:44 <goncalopp>	sure, good night :)
Apr 19 00:32:46 *	Josip (~chatzilla@cable-188-246-58-157.dynamic.kdsinter.net) has left ##programming-classes
Apr 19 00:33:10 <goncalopp>	now, NiM's program is a mythical beast :)
Apr 19 00:33:26 <neetismurder>	wah
Apr 19 00:33:30 <goncalopp>	xP
Apr 19 00:33:57 <goncalopp>	It works, of course :D
Apr 19 00:34:10 <goncalopp>	a couple of things, though:
Apr 19 00:34:11 <neetismurder>	barely... lol
Apr 19 00:34:48 <neetismurder>	those global variable definitions really bother me
Apr 19 00:35:02 <goncalopp>	yes, that's what I was gonna say next
Apr 19 00:35:04 <neetismurder>	but I'm used to js scoping, so I wasn't really sure how to get the same behavior
Apr 19 00:35:11 <goncalopp>	globals are ALWAYS a bad sign
Apr 19 00:35:32 <neetismurder>	I know python3 has nonlocal right?
Apr 19 00:35:38 <goncalopp>	yup
Apr 19 00:35:44 <goncalopp>	ok, we'll review this...
Apr 19 00:35:45 <neetismurder>	how do I do that in 2?
Apr 19 00:35:59 <goncalopp>	you shouldn't, for something this simple
Apr 19 00:36:04 <goncalopp>	and you can't, anyway
Apr 19 00:36:11 <neetismurder>	oh alright
Apr 19 00:36:32 <goncalopp>	the best way to do it in this case, is just to pass the values as arguments:
Apr 19 00:37:05 <goncalopp>	let's see if I can uderstand this xP
Apr 19 00:38:10 <goncalopp>	there... what else?...
Apr 19 00:38:26 <neetismurder>	guesses was global
Apr 19 00:38:30 <goncalopp>	oh, on line 27, nim:
Apr 19 00:38:52 <goncalopp>	just a bit more readable
Apr 19 00:39:08 <neetismurder>	yeah, I changed it after I was getting undefined local variable errors
Apr 19 00:39:16 <goncalopp>	hoa
Apr 19 00:39:19 <neetismurder>	it was originally like that, but I never changed it back
Apr 19 00:39:24 <neetismurder>	after I fixed em
Apr 19 00:39:46 <goncalopp>	well, when you need a variable, just pass it as an argument, that's about it
Apr 19 00:39:57 <neetismurder>	okay, I almost did that too
Apr 19 00:40:16 <neetismurder>	but it felt awkward because I'm too used to lexical scoping
Apr 19 00:40:17 <goncalopp>	I think these may not be the best choices for the functions, but I may check that better later
Apr 19 00:40:53 *	Suhteevah has quit (*.net *.split)
Apr 19 00:41:00 <goncalopp>	javascript can give you a bad case of cold:)
Apr 19 00:41:16 <neetismurder>	ww yeah
Apr 19 00:41:25 <neetismurder>	on line 40
Apr 19 00:41:35 <neetismurder>	I should have combined the and statement right?
Apr 19 00:42:04 <neetismurder>	and combined 40 and 43 into a single function?
Apr 19 00:42:16 <goncalopp>	sure, same as Josip's
Apr 19 00:42:39 <goncalopp>	basically, if you have a 20+ lines function, you're doing something wrong :)
Apr 19 00:42:59 <goncalopp>	unless for some seriously advanced algorithms
Apr 19 00:43:08 <goncalopp>	also
Apr 19 00:43:41 <goncalopp>	"%s" % ("string") is deprecated
Apr 19 00:43:50 <goncalopp>	use string.format()
Apr 19 00:43:59 <neetismurder>	ah okay
Apr 19 00:44:10 <neetismurder>	guess python the hard way needs an update :P
Apr 19 00:44:13 <goncalopp>	though I'll confess I use it sometimes, since it's more compact :)
Apr 19 00:44:43 <neetismurder>	has that disappeared in python3?
Apr 19 00:45:06 <goncalopp>	Anyway, I'll try and rewrite your program entirely and sent it to you later, so you may get an idea of good structure (hopefully :)
Apr 19 00:45:16 <neetismurder>	alright thanks
Apr 19 00:45:30 <goncalopp>	np :)
Apr 19 00:45:46 <goncalopp>	nick, sativa, any questions, anything?
Apr 19 00:46:41 <goncalopp>	they got dazzled by tour code NiM ;)
Apr 19 00:46:47 <goncalopp>	*your
Apr 19 00:46:48 <neetismurder>	bahaha
Apr 19 00:47:01 <neetismurder>	maybe stunned by the ugliness
Apr 19 00:47:07 <goncalopp>	:)
Apr 19 00:48:32 <goncalopp>	ok then people, I must go, it's pretty late here I must get up early in the morning
Apr 19 00:48:48 <neetismurder>	alright thanks, next class and homework in email?
Apr 19 00:48:49 <goncalopp>	NiM, I'll send you something late tomorrow
Apr 19 00:49:09 <goncalopp>	yes, I found something cool for agreeing on class schedule
Apr 19 00:49:53 <goncalopp>	hope to see you guys next class. I'm pretty happy with how these are going :D
Apr 19 00:50:06 <neetismurder>	yep, I'm having fun with it
Apr 19 00:50:09 <neetismurder>	good night
Apr 19 00:50:15 <goncalopp>	good nigh/morning ;)

